,Molecule,Score,admet_smiles
226,EOS59622,-7.067,COc1ccc(CN2CC[C@]3(OC)CC[C@@H](OCCO)C[C@H]23)cc1
227,EOS58770,-7.974,Cc1csc(SCC(=O)N2CCCC(CNC(=O)c3cncn3C)C2)n1
228,EOS58771,-6.788,O=C(CN1CCCCC1=O)NCCCSc1ccc(Cl)cc1
229,EOS59278,-8.883,O=C(NCc1cnc2c(c1)CCC2)C1CCN(C2CCS(=O)(=O)C2)CC1
230,EOS59280,-7.929,Cc1ccc(C(=O)N[C@@H]2CCN(Cc3cscn3)C[C@H]2O)cc1C
231,EOS59637,-9.348,Cc1cc2[nH]c(CN3C[C@H]4COCC[C@@]4(O)[C@@H]4COCC[C@@H]43)cc(=O)n2n1
232,EOS59285,-7.963,O=C(CCNC(=O)c1ccc(F)cc1)N[C@H]1[C@@H]2CCO[C@@H]2[C@@H]1C1CCCC1
233,EOS59639,-7.243,COc1cc(C)ccc1CN1CC[C@]2(OC)CC[C@H](OCCO)C[C@H]12
234,EOS59293,-7.54,CN(C)C(=O)NCC(=O)N1CCC(c2ccncc2)CC1
235,EOS58778,-8.028,COC[C@H]1[C@H]2OCC[C@H]2[C@H]1NC(=O)c1cn([C@H]2CC[C@@H](N)CC2)nn1
236,EOS59303,-7.562,COc1ccc(NC(C)=O)cc1NC(=O)NCCN1CCCC(CO)C1
237,EOS59660,-7.875,COCCNC(=O)c1ccc2c(c1)N(C)C(CC(=O)NCc1ccncc1)CO2
238,EOS58780,-7.01,COc1ccc(CN2CCN(C(=O)NCCCC(C)(C)C)CC2=O)cc1
239,EOS59663,-7.599,O=C(NCCN1CCCC(CO)C1)c1cc(O)ccc1F
240,EOS58781,-7.472,CCc1cc(C(=O)N[C@@H]2CCN(Cc3csc(C)n3)C[C@H]2O)cs1
241,EOS59309,-7.679,CN(C)C(=O)CC1C(=O)NCCN1Cc1ccc(Cl)c(F)c1
242,EOS59666,-8.273,O=C(NCc1nc2cc(Cl)ccc2[nH]1)NCC1CCS(=O)(=O)C1
243,EOS59322,-7.454,COc1c(F)cccc1CN1CC[C@]2(OC)CC[C@@H](OCCO)C[C@H]12
244,EOS58787,-15.274,Cc1n[nH]c(CN2CC3CCC[C@@H](C2)NC3=O)n1
245,EOS59681,-7.841,Cc1nc(CNC(=O)CC2CC(C)(C)NC(C)(C)C2)n(C)c1C
246,EOS59682,-10.671,CN(C)CC1COCCN(C(=O)c2cc(-c3ccsc3)[nH]n2)C1
247,EOS59329,-7.736,Cn1ncc(N2CCC(CNC(=O)C(C)(C)C)C2)cc1=O
248,EOS59330,-7.637,COc1ccc(C(NC(=O)c2ccc(C)c(C)c2)C2CC(O)C2)cn1
249,EOS59334,-7.056,CN(C)C1(CNC(=O)C2CC23CCNCC3)CCCCC1
250,EOS59336,-7.258,CO[C@H]1CC[C@@]2(OC)CCN(Cc3ccc(F)cc3C)[C@H]2C1
251,EOS59337,-6.837,CO[C@H]1CC[C@@]2(OC)CCN(Cc3ccc(SC)cc3)[C@H]2C1
252,EOS59338,-7.534,CCN1CC(CN(C)C(=O)c2cccc(-c3ccc(C(=O)NC)o3)c2)CC1=O
253,EOS59340,-12.651,CCc1c(C)nn(CCNC(=O)C2CCC(=O)NC(=O)N2)c1C
