Molecule,Score
Cc1nc(CCN2CCCC(c3nnc4n3CCCCC4)C2)cs1os,-11.271
CCOCCCNC(=O)c1cc2n(n1)CCCN(Cc1cccc(F)c1)C2=Oos,-11.26
C[C@]1(c2ccccc2F)NC(=O)N(CC(=O)N2CCCCCC2)C1=Oos,-11.259
CN1CCC(N2CCCc3c(Br)cccc3C2)C1=Oos,-11.253
Cc1ccc(C(CNC(=O)N2CCCNC(=O)C2)N2CCC(C)CC2)cc1os,-11.252
COc1ccc(C(=O)N2CCOc3ccc(CCC(=O)N(C)C)cc3C2)cc1Fos,-11.25
Cc1ccc(CNC(=O)C2(C)CCCCC(=O)N2)cc1os,-11.244
CC1(C)Cc2cccc(OCCC(=O)NC3CCCCNC3=O)c2O1os,-11.244
COc1ccc(NC(=O)Cn2nc3c(cc2=O)CCCCC3)cc1os,-11.243
Cc1nc(=O)c2c([nH]1)CCC(C(=O)NCc1ccsc1)CC2os,-11.239
CC(C)c1nnc2n1CCN(C(=O)Cc1c(O)n(C)c(=O)n1C)CC2os,-11.236
O=C(CN1CCOc2ccccc2C1)N[C@H]1COC[C@@H]1N1CCCC1os,-11.234
Cc1ccccc1CC(=O)NC1CCCCNC1=Oos,-11.233
O=C(COc1ccc(F)cc1)NC1CCCCNC1=Oos,-11.233
O=C1CCCCC(C(=O)N2CCn3cncc3C2)N1os,-11.228
Cc1cccc(CN2CCCn3nc(C(=O)NCCCN4CCOCC4)cc3C2=O)c1os,-11.222
CC(=O)c1c(C)[nH]c(C(=O)C(C)N(C)Cc2nnc3n2CCOCC3)c1Cos,-11.218
Cc1ccc(C)c(OCC(=O)NC2CCCCNC2=O)c1os,-11.21
Cc1cccc(=O)n1CCC(=O)NCC1CCOc2ccccc2C1os,-11.209
CC1(C(=O)NCc2ccccc2)CCCCC(=O)N1os,-11.206
O=C(NCCN1CCOCC1)C1CCc2sc(C(=O)N3CCCCCC3)cc2C1os,-11.206
O=C(c1cc2ncccn2n1)N1CCCC2(CCCO2)CC1os,-11.201
Cc1cc(CN2CCNC(=O)CC2)c(C)c(CN2CCCCC2C)c1os,-11.197
Cc1c(C)n2c3c(=O)n(C)c(=O)n(C)c3nc2n1CCN1CCCCCC1os,-11.196
Cc1cccc(C(=O)NC2CCCCNC2=O)n1os,-11.193
Cc1ccsc1CN1C[C@H]2CCCC(=O)N[C@H]2C1os,-11.19
O=C(Cn1nc2c(cc1=O)CCCCC2)NCC1CCCO1os,-11.186
Cc1ccc(CC(=O)NC2CCCCNC2=O)cc1os,-11.183
C[C@H]1COc2ccccc2CN1CCN1CCNC1=Oos,-11.177
O=C(CN1CCCn2nc(C(O)c3ccccc3)cc2C1)NCc1ccco1os,-11.176
Cc1ccc(OCC(=O)NC2CCCCNC2=O)cc1os,-11.171
CC1(C)CN(C(=O)NCCC2CS(=O)(=O)C2)CCc2ccccc21os,-11.171
Cn1cnc([C@@H]2CNCC2C(=O)N2CCOc3ccc(O)cc3C2)c1os,-11.169
Cc1cnc2c(C(=O)N3CCCC4(CCCO4)CC3)cnn2c1os,-11.164
