,Molecule,Score,admetlab_smiles
2311,COCCN1C(=O)c2ccccc2C(C(=O)NCC2CCCN3CCCCC23)C12CCCC2,-9.358,COCCN1C(=O)c2ccccc2C(C(=O)NCC2CCCN3CCCCC23)C12CCCC2
2312,Cc1cc(C(=O)N2CCN(CCc3ccccn3)CC2)c2c(C)nn(C)c2n1,-9.191,Cc1cc(C(=O)N2CCN(CCc3ccccn3)CC2)c2c(C)nn(C)c2n1
2313,CN(C)C(=O)C1CN(C(=O)CCC(=O)c2ccc(F)cc2)CC12CCOCC2,-8.669,CN(C)C(=O)C1CN(C(=O)CCC(=O)c2ccc(F)cc2)CC12CCOCC2
2314,O=C(COc1ccccc1)NCC1CCC(=O)N(Cc2ccccc2)CC1,-11.005,O=C(COc1ccccc1)NCC1CCC(=O)N(Cc2ccccc2)CC1
2315,CC(=O)Nc1cccc(NC(=O)CCCC(=O)N2CCNC(=O)C2)c1,-8.255,CC(=O)Nc1cccc(NC(=O)CCCC(=O)N2CCNC(=O)C2)c1
2316,CC(C)N1C(=O)C2(CCCCC2)C1C(=O)NCCCOC1CCN(C)CC1,-8.244,CC(C)N1C(=O)C2(CCCCC2)C1C(=O)NCCCOC1CCN(C)CC1
2317,Cn1c(=O)c2c(-c3cccc(Br)c3)n(C(C)(C)CO)cc2n(C)c1=O,-8.194,Cn1c(=O)c2c(-c3cccc(Br)c3)n(C(C)(C)CO)cc2n(C)c1=O
2318,COc1ccc(-c2nnsc2C(=O)NCCC(C)C)cc1,-7.051,COc1ccc(-c2nnsc2C(=O)NCCC(C)C)cc1
2319,COc1cccc(C(=O)/N=c2\sc(C)c(C)n2Cc2ccc(C(=O)NCCN(C)C)o2)c1,-7.905,COc1cccc(C(=O)/N=c2\sc(C)c(C)n2Cc2ccc(C(=O)NCCN(C)C)o2)c1
2320,O=C(Cc1ccc(Cl)cc1)NCC(c1cccs1)N1CCOCC1,-7.647,O=C(Cc1ccc(Cl)cc1)NCC(c1cccs1)N1CCOCC1
2321,C#CCOCC(O)CN(CCOC)Cc1c(-c2ccccc2)nn(C)c1Oc1ccccc1,-7.089,C#CCOCC(O)CN(CCOC)Cc1c(-c2ccccc2)nn(C)c1Oc1ccccc1
2322,Cc1cc(C)cc(N2CC(C)Cn3c2nc2c3c(=O)n(CC(N)=O)c(=O)n2C)c1,-9.71,Cc1cc(C)cc(N2CC(C)Cn3c2nc2c3c(=O)n(CC(N)=O)c(=O)n2C)c1
2323,CCNC(=O)NCC1c2cc(OC)c(OC)cc2CCN1Cc1ccc(OC)cc1,-7.298,CCNC(=O)NCC1c2cc(OC)c(OC)cc2CCN1Cc1ccc(OC)cc1
2324,CCCN(CCC)C(=O)c1cnn2c(-c3cccc(OC)c3)ccnc12,-7.918,CCCN(CCC)C(=O)c1cnn2c(-c3cccc(OC)c3)ccnc12
2325,CC(C)(C)C(=O)N1CCCC1c1cccs1,-6.565,CC(C)(C)C(=O)N1CCCC1c1cccs1
2326,CCCNC(=O)C1CN(C(=O)NCC)CC1c1cc(OC)c(OC)c(OC)c1,-6.926,CCCNC(=O)C1CN(C(=O)NCC)CC1c1cc(OC)c(OC)c(OC)c1
2327,O=C(CNC(=O)N1CCN(c2cccc(Cl)c2)CC1)Nc1cccc(O)c1,-9.031,O=C(CNC(=O)N1CCN(c2cccc(Cl)c2)CC1)Nc1cccc(O)c1
2328,CC(Oc1ccccc1Cl)C(=O)NC1CCCC1,-6.812,CC(Oc1ccccc1Cl)C(=O)NC1CCCC1
2329,Cc1ccc(C(=O)NCCC2CCN(C)CC2)cc1N(C)S(C)(=O)=O,-7.991,Cc1ccc(C(=O)NCCC2CCN(C)CC2)cc1N(C)S(C)(=O)=O
2330,Cc1cccc(CNC(=O)C(C)(C)C)c1,-6.242,Cc1cccc(CNC(=O)C(C)(C)C)c1
2331,CC(=O)c1ccc(NC(=O)CC2NC3CCCCC3NC2=O)cc1,-8.418,CC(=O)c1ccc(NC(=O)CC2NC3CCCCC3NC2=O)cc1
2332,CCCCc1c(C)[nH]c(N2CCN(CC)CC2)nc1=O,-7.23,CCCCc1c(C)[nH]c(N2CCN(CC)CC2)nc1=O
2333,CC(=O)Nc1ccc(C(=O)N2CC(C)CC(C)C2)o1,-8.021,CC(=O)Nc1ccc(C(=O)N2CC(C)CC(C)C2)o1
2334,CC(C)S(=O)(=O)NC1=NCN(CCCN2CCOCC2)CN1,-7.561,CC(C)S(=O)(=O)NC1=NCN(CCCN2CCOCC2)CN1
2335,CC(c1ccccc1)N1CCn2c(nc3ccccc32)C1,-8.142,CC(c1ccccc1)N1CCn2c(nc3ccccc32)C1
2336,Cc1cc(C)cc(C(=O)N(C)Cc2snnc2C)c1,-7.433,Cc1cc(C)cc(C(=O)N(C)Cc2snnc2C)c1
2337,CC1CCc2[nH]nc(C(=O)NCC3CCCO3)c2C1,-7.674,CC1CCc2[nH]nc(C(=O)NCC3CCCO3)c2C1
2338,CCC(C)NC(=O)N1CCNC(=O)C1(C)C,-6.277,CCC(C)NC(=O)N1CCNC(=O)C1(C)C
2339,COCc1nc2[nH]cc(C(C)=O)c(=O)n2n1,-6.841,COCc1nc2[nH]cc(C(C)=O)c(=O)n2n1
